M69CK7|2022-03-28T18:55:16.352Z|-4
5luNMc|2022-03-28T18:55:17.357Z|-10
YYARKx|2022-03-28T18:55:18.362Z|-6
5luNMc|2022-03-28T18:55:19.369Z|0
M69CK7|2022-03-28T18:55:20.373Z|16
YYARKx|2022-03-28T18:55:21.377Z|-2
GQO01t|2022-03-28T18:55:22.380Z|10
5luNMc|2022-03-28T18:55:23.387Z|-1
YYARKx|2022-03-28T18:55:24.394Z|-6
M69CK7|2022-03-28T18:55:25.399Z|13
M69CK7|2022-03-28T18:55:26.400Z|12
M69CK7|2022-03-28T18:55:27.405Z|-7
GQO01t|2022-03-28T18:55:28.411Z|4
5luNMc|2022-03-28T18:55:29.406Z|14
M69CK7|2022-03-28T18:55:30.410Z|-4
M69CK7|2022-03-28T18:55:31.414Z|-4
YYARKx|2022-03-28T18:55:32.419Z|13
M69CK7|2022-03-28T18:55:33.421Z|-3
GQO01t|2022-03-28T18:55:34.426Z|4
5luNMc|2022-03-28T18:55:35.433Z|-9
GQO01t|2022-03-28T18:55:36.440Z|-10
M69CK7|2022-03-28T18:55:37.444Z|-2
GQO01t|2022-03-28T18:55:38.447Z|-10
YYARKx|2022-03-28T18:55:39.452Z|2
GQO01t|2022-03-28T18:55:40.456Z|-9
GQO01t|2022-03-28T18:55:41.461Z|-2
YYARKx|2022-03-28T18:55:42.466Z|8
5luNMc|2022-03-28T18:55:43.469Z|17
5luNMc|2022-03-28T18:55:44.475Z|-7
M69CK7|2022-03-28T18:55:45.479Z|1
M69CK7|2022-03-28T18:55:46.482Z|8
M69CK7|2022-03-28T18:55:47.487Z|-1
5luNMc|2022-03-28T18:55:48.493Z|7
5luNMc|2022-03-28T18:55:49.496Z|-8
5luNMc|2022-03-28T18:55:50.506Z|7
GQO01t|2022-03-28T18:55:51.508Z|-2
M69CK7|2022-03-28T18:55:52.513Z|14
YYARKx|2022-03-28T18:55:53.520Z|6
5luNMc|2022-03-28T18:55:54.521Z|15
M69CK7|2022-03-28T18:55:55.529Z|19
GQO01t|2022-03-28T18:55:56.533Z|19
5luNMc|2022-03-28T18:55:57.534Z|14
5luNMc|2022-03-28T18:55:58.539Z|0
5luNMc|2022-03-28T18:55:59.559Z|3
YYARKx|2022-03-28T18:56:0.559Z|11
YYARKx|2022-03-28T18:56:01.564Z|13
5luNMc|2022-03-28T18:56:02.568Z|18
M69CK7|2022-03-28T18:56:03.579Z|5
YYARKx|2022-03-28T18:56:04.578Z|-9
GQO01t|2022-03-28T18:56:05.583Z|-3
M69CK7|2022-03-28T18:56:06.589Z|1
M69CK7|2022-03-28T18:56:07.591Z|9
YYARKx|2022-03-28T18:56:08.594Z|-7
GQO01t|2022-03-28T18:56:09.600Z|5
YYARKx|2022-03-28T18:56:10.607Z|2
M69CK7|2022-03-28T18:56:11.608Z|-6
5luNMc|2022-03-28T18:56:12.615Z|10
GQO01t|2022-03-28T18:56:13.620Z|19
GQO01t|2022-03-28T18:56:14.624Z|-6
GQO01t|2022-03-28T18:56:15.630Z|-1
GQO01t|2022-03-28T18:56:16.632Z|-3
GQO01t|2022-03-28T18:56:17.636Z|-1
M69CK7|2022-03-28T18:56:18.639Z|-2
M69CK7|2022-03-28T18:56:19.644Z|-2
GQO01t|2022-03-28T18:56:20.648Z|-9
M69CK7|2022-03-28T18:56:21.652Z|-7
YYARKx|2022-03-28T18:56:22.653Z|7
5luNMc|2022-03-28T18:56:23.656Z|5
5luNMc|2022-03-28T18:56:24.661Z|13
YYARKx|2022-03-28T18:56:25.666Z|-5
M69CK7|2022-03-28T18:56:26.672Z|-1
5luNMc|2022-03-28T18:56:27.678Z|-6
5luNMc|2022-03-28T18:56:28.679Z|-6
GQO01t|2022-03-28T18:56:29.671Z|-5
GQO01t|2022-03-28T18:56:30.674Z|-1
GQO01t|2022-03-28T18:56:31.676Z|11
GQO01t|2022-03-28T18:56:32.682Z|11
